Name,Risk Score,Bachelor's Degree,Master's Degree,More Than 5 Years of Work Experience,More Than 10 Years of Work Experience,More Than 15 Years of Work Experience,More Than 20 Years of Work Experience,More Than 25 Years of Work Experience,More Than 30 Years of Work Experience,Years of Work Experience,Bankruptcies,Criminal Records,Civil Litigation & Legal Filings,Tax Liens,Industry Sanctions & Other Legal Actions,Professional Licenses,LinkedIn Potential Controversies,LinkedIn Political Activity,Twitter Potential Controversies,Twitter Political Activity,Facebook Potential Controversies,Facebook Political Activity,Instagram Potential Controversies,Instagram Political Activity
Synthetic Data  #986,2,Yes,No,Yes,Yes,No,No,No,No,12,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes
Synthetic Data  #987,5,Yes,No,Yes,Yes,No,No,No,No,15,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No
Synthetic Data  #988,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,40,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No
Synthetic Data  #989,4,Yes,No,No,No,No,No,No,No,3,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
Synthetic Data  #990,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No
Synthetic Data  #991,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No
Synthetic Data  #992,4,Yes,Yes,Yes,Yes,Yes,No,No,No,19,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No
Synthetic Data  #993,5,No,No,No,No,No,No,No,No,5,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
Synthetic Data  #994,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,32,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
Synthetic Data  #995,2,Yes,Yes,Yes,Yes,Yes,Yes,No,No,23,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #996,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,34,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #997,5,No,No,No,No,No,No,No,No,2,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No
Synthetic Data  #998,2,No,No,Yes,Yes,Yes,Yes,Yes,No,29,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #999,5,Yes,No,Yes,Yes,Yes,Yes,No,No,23,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Synthetic Data  #1000,3,No,No,Yes,Yes,No,No,No,No,13,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No
Synthetic Data  #1001,4,No,No,Yes,No,No,No,No,No,6,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Synthetic Data  #1002,4,Yes,No,Yes,Yes,Yes,No,No,No,17,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No
Synthetic Data  #1003,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,32,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes
Synthetic Data  #1004,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,31,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes
Synthetic Data  #1005,5,Yes,No,Yes,Yes,Yes,Yes,Yes,No,30,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No
Synthetic Data  #1006,4,Yes,No,Yes,Yes,Yes,Yes,Yes,No,28,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes
Synthetic Data  #1007,2,Yes,No,No,No,No,No,No,No,3,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes
Synthetic Data  #1008,2,Yes,Yes,Yes,Yes,Yes,Yes,No,No,25,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
Synthetic Data  #1009,4,No,No,No,No,No,No,No,No,4,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No
Synthetic Data  #1010,3,No,No,Yes,Yes,Yes,Yes,Yes,Yes,34,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No
Synthetic Data  #1011,3,Yes,Yes,Yes,No,No,No,No,No,9,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #1012,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,31,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No
Synthetic Data  #1013,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,29,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #1014,5,Yes,No,Yes,No,No,No,No,No,9,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes
Synthetic Data  #1015,2,Yes,No,Yes,No,No,No,No,No,9,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
Synthetic Data  #1016,5,Yes,Yes,Yes,Yes,Yes,Yes,No,No,25,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #1017,5,Yes,No,Yes,Yes,No,No,No,No,11,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #1018,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No
Synthetic Data  #1019,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #1020,5,Yes,No,Yes,Yes,Yes,Yes,Yes,No,30,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No
Synthetic Data  #1021,1,Yes,No,Yes,Yes,Yes,Yes,No,No,25,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #1022,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No
Synthetic Data  #1023,4,Yes,No,No,No,No,No,No,No,4,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No
Synthetic Data  #1024,3,Yes,No,Yes,Yes,Yes,Yes,No,No,24,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No
Synthetic Data  #1025,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,28,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No
Synthetic Data  #1026,5,Yes,No,Yes,Yes,Yes,Yes,No,No,21,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Synthetic Data  #1027,5,Yes,No,Yes,Yes,Yes,No,No,No,18,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
Synthetic Data  #1028,1,No,No,No,No,No,No,No,No,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Synthetic Data  #1029,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,36,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
Synthetic Data  #1030,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,36,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No
Synthetic Data  #1031,3,Yes,No,Yes,Yes,No,No,No,No,14,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #1032,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,36,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes
Synthetic Data  #1033,5,Yes,No,Yes,No,No,No,No,No,10,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No
Synthetic Data  #1034,5,Yes,No,Yes,No,No,No,No,No,10,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No
Synthetic Data  #1035,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,26,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
Synthetic Data  #1036,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,27,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Synthetic Data  #1037,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #1038,3,Yes,Yes,No,No,No,No,No,No,4,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #1039,5,Yes,No,No,No,No,No,No,No,2,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #1040,5,Yes,No,Yes,Yes,Yes,No,No,No,16,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes
Synthetic Data  #1041,2,Yes,No,Yes,No,No,No,No,No,6,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Synthetic Data  #1042,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,26,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No
Synthetic Data  #1043,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,37,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No
Synthetic Data  #1044,2,Yes,No,Yes,Yes,Yes,Yes,Yes,No,26,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Synthetic Data  #1045,5,Yes,No,Yes,Yes,No,No,No,No,11,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No
Synthetic Data  #1046,3,Yes,No,Yes,Yes,No,No,No,No,11,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #1047,5,Yes,Yes,Yes,Yes,Yes,No,No,No,17,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No
Synthetic Data  #1048,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,40,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #1049,5,Yes,No,No,No,No,No,No,No,5,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
Synthetic Data  #1050,2,No,No,Yes,Yes,Yes,Yes,No,No,25,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Synthetic Data  #1051,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,33,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #1052,4,Yes,No,No,No,No,No,No,No,3,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #1053,4,Yes,No,Yes,Yes,No,No,No,No,15,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No
Synthetic Data  #1054,3,Yes,No,Yes,Yes,No,No,No,No,13,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #1055,5,Yes,Yes,Yes,No,No,No,No,No,7,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No
Synthetic Data  #1056,4,Yes,Yes,Yes,Yes,Yes,No,No,No,17,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No
Synthetic Data  #1057,5,Yes,No,Yes,Yes,Yes,Yes,No,No,25,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes
Synthetic Data  #1058,3,Yes,No,Yes,Yes,Yes,No,No,No,18,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #1059,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
Synthetic Data  #1060,3,Yes,No,Yes,Yes,Yes,No,No,No,19,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
Synthetic Data  #1061,1,Yes,No,Yes,No,No,No,No,No,8,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Synthetic Data  #1062,4,Yes,Yes,Yes,Yes,Yes,No,No,No,19,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No
Synthetic Data  #1063,4,Yes,No,Yes,Yes,Yes,Yes,No,No,24,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes
Synthetic Data  #1064,5,Yes,No,Yes,Yes,No,No,No,No,14,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes
Synthetic Data  #1065,3,Yes,No,Yes,Yes,Yes,Yes,No,No,21,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No
Synthetic Data  #1066,4,Yes,No,Yes,Yes,Yes,Yes,No,No,23,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No
Synthetic Data  #1067,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,35,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No
Synthetic Data  #1068,5,Yes,No,Yes,Yes,Yes,No,No,No,20,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #1069,5,Yes,No,Yes,Yes,No,No,No,No,12,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No
Synthetic Data  #1070,5,Yes,No,Yes,Yes,Yes,No,No,No,18,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No
Synthetic Data  #1071,5,Yes,Yes,Yes,Yes,No,No,No,No,14,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No
Synthetic Data  #1072,4,Yes,No,Yes,No,No,No,No,No,6,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Synthetic Data  #1073,3,Yes,Yes,Yes,Yes,Yes,No,No,No,16,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No
Synthetic Data  #1074,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,33,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No
Synthetic Data  #1075,5,Yes,No,Yes,Yes,Yes,Yes,Yes,No,29,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #1076,3,Yes,Yes,Yes,Yes,Yes,No,No,No,20,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #1077,4,Yes,No,Yes,Yes,Yes,Yes,No,No,21,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #1078,2,Yes,Yes,Yes,Yes,Yes,Yes,No,No,22,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Synthetic Data  #1079,3,No,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No
Synthetic Data  #1080,3,Yes,No,No,No,No,No,No,No,5,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
Synthetic Data  #1081,2,Yes,No,Yes,Yes,Yes,Yes,Yes,No,26,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No
Synthetic Data  #1082,5,Yes,Yes,Yes,No,No,No,No,No,9,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No
Synthetic Data  #1083,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,27,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Synthetic Data  #1084,2,Yes,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Synthetic Data  #1085,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,28,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Synthetic Data  #1086,5,Yes,Yes,Yes,Yes,Yes,Yes,No,No,22,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No
Synthetic Data  #1087,5,Yes,No,Yes,Yes,Yes,No,No,No,17,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No
Synthetic Data  #1088,4,Yes,No,Yes,Yes,No,No,No,No,14,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No
Synthetic Data  #1089,2,Yes,No,No,No,No,No,No,No,1,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No
Synthetic Data  #1090,4,Yes,No,Yes,Yes,Yes,Yes,Yes,No,28,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes
Synthetic Data  #1091,2,Yes,Yes,Yes,Yes,Yes,Yes,No,No,24,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No
Synthetic Data  #1092,4,Yes,Yes,Yes,No,No,No,No,No,10,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No
Synthetic Data  #1093,2,Yes,No,No,No,No,No,No,No,2,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #1094,4,Yes,No,Yes,Yes,No,No,No,No,12,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Synthetic Data  #1095,4,Yes,No,Yes,Yes,No,No,No,No,12,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes
Synthetic Data  #1096,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,35,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No
Synthetic Data  #1097,4,No,No,Yes,Yes,Yes,Yes,Yes,Yes,37,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No
Synthetic Data  #1098,2,Yes,No,Yes,Yes,Yes,Yes,Yes,No,30,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No
Synthetic Data  #1099,5,Yes,No,Yes,No,No,No,No,No,8,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No
Synthetic Data  #1100,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,26,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
Synthetic Data  #1101,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,38,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes
Synthetic Data  #1102,2,Yes,No,Yes,Yes,Yes,Yes,Yes,No,28,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No
Synthetic Data  #1103,1,Yes,No,Yes,Yes,Yes,Yes,Yes,No,27,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #1104,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No
Synthetic Data  #1105,5,Yes,No,No,No,No,No,No,No,5,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Synthetic Data  #1106,3,Yes,No,Yes,Yes,Yes,Yes,No,No,23,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #1107,2,Yes,Yes,Yes,Yes,No,No,No,No,14,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes
Synthetic Data  #1108,5,Yes,Yes,Yes,No,No,No,No,No,7,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
Synthetic Data  #1109,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,32,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No
Synthetic Data  #1110,5,Yes,Yes,No,No,No,No,No,No,2,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #1111,5,Yes,No,No,No,No,No,No,No,4,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes
Synthetic Data  #1112,3,Yes,Yes,Yes,Yes,Yes,No,No,No,16,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No
Synthetic Data  #1113,2,Yes,Yes,No,No,No,No,No,No,3,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No
Synthetic Data  #1114,2,Yes,No,Yes,Yes,Yes,Yes,Yes,No,29,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No
Synthetic Data  #1115,2,Yes,No,No,No,No,No,No,No,5,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes
Synthetic Data  #1116,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,27,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #1117,2,Yes,No,Yes,Yes,Yes,Yes,Yes,No,26,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Synthetic Data  #1118,3,Yes,No,Yes,Yes,No,No,No,No,11,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No
Synthetic Data  #1119,2,Yes,Yes,Yes,Yes,No,No,No,No,11,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Synthetic Data  #1120,5,No,No,Yes,Yes,Yes,Yes,Yes,Yes,35,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No
Synthetic Data  #1121,2,No,No,Yes,Yes,Yes,Yes,Yes,No,28,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No
Synthetic Data  #1122,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,33,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes
Synthetic Data  #1123,5,Yes,No,Yes,Yes,Yes,No,No,No,16,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No
Synthetic Data  #1124,1,Yes,No,Yes,Yes,No,No,No,No,15,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
Synthetic Data  #1125,4,No,No,Yes,Yes,No,No,No,No,14,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No
Synthetic Data  #1126,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,35,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Synthetic Data  #1127,4,Yes,Yes,Yes,Yes,Yes,Yes,No,No,23,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #1128,2,Yes,No,Yes,Yes,No,No,No,No,14,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
Synthetic Data  #1129,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,37,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No
Synthetic Data  #1130,2,Yes,No,No,No,No,No,No,No,4,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No
Synthetic Data  #1131,3,Yes,No,Yes,No,No,No,No,No,7,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No
Synthetic Data  #1132,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,36,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #1133,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
Synthetic Data  #1134,5,No,No,No,No,No,No,No,No,3,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No
Synthetic Data  #1135,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes
Synthetic Data  #1136,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,37,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No
Synthetic Data  #1137,5,Yes,No,Yes,No,No,No,No,No,8,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No
Synthetic Data  #1138,5,Yes,Yes,Yes,Yes,Yes,No,No,No,17,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No
Synthetic Data  #1139,2,Yes,Yes,Yes,No,No,No,No,No,7,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #1140,2,Yes,No,Yes,Yes,Yes,Yes,No,No,23,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #1141,3,No,No,Yes,No,No,No,No,No,6,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No
Synthetic Data  #1142,3,Yes,No,Yes,Yes,No,No,No,No,12,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes
Synthetic Data  #1143,4,Yes,Yes,Yes,Yes,No,No,No,No,11,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Synthetic Data  #1144,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,37,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #1145,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,30,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No
Synthetic Data  #1146,5,Yes,No,No,No,No,No,No,No,3,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
Synthetic Data  #1147,5,Yes,No,No,No,No,No,No,No,4,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No
Synthetic Data  #1148,2,Yes,No,Yes,No,No,No,No,No,8,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No
Synthetic Data  #1149,5,Yes,Yes,Yes,Yes,No,No,No,No,11,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Synthetic Data  #1150,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,32,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #1151,5,Yes,Yes,Yes,Yes,Yes,No,No,No,20,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #1152,3,Yes,Yes,Yes,No,No,No,No,No,9,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes
Synthetic Data  #1153,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,37,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No
Synthetic Data  #1154,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,38,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No
Synthetic Data  #1155,3,Yes,Yes,Yes,Yes,No,No,No,No,14,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No
Synthetic Data  #1156,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,40,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No
Synthetic Data  #1157,5,Yes,No,Yes,No,No,No,No,No,10,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes
Synthetic Data  #1158,1,Yes,No,Yes,Yes,No,No,No,No,11,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
Synthetic Data  #1159,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,37,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #1160,3,Yes,Yes,Yes,Yes,Yes,No,No,No,18,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
Synthetic Data  #1161,4,Yes,No,No,No,No,No,No,No,1,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes
Synthetic Data  #1162,5,No,No,Yes,Yes,Yes,Yes,Yes,No,26,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #1163,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,37,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #1164,4,Yes,No,No,No,No,No,No,No,4,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No
Synthetic Data  #1165,5,Yes,No,No,No,No,No,No,No,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
